Transaction_Date,Transaction_Year,Transaction_Month,Brand,Model,Manufacture_Year,Car_Age_At_Sale,Mileage_km,Displacement_cc,Horsepower_PS,Seats,Color,Dealer,Price_HKD
2026/09,2026,9,MERCEDES-BENZ,GLC250 4Matic AMG,2017,9,68000.0,1991.0,211,5,Blue,Hung Wai Motor Enterprise Limited,108000.0
2026/09,2026,9,BMW,iX1 Edrive20i X-Line,2024,2,48000.0,,204,5,White,Hung Wai Motor Enterprise Limited,298000.0
2026/09,2026,9,BMW,X2 SDRIVE20IA M SPORT X,2018,8,81338.0,1998.0,192,5,Orange,Star Ray Motors Company Limited,78000.0
2026/09,2026,9,MAXUS,MIFA 9 Premium,2023,3,90000.0,90.0,245,7,Grey,Extreme Motors Company,338000.0
2026/09,2026,9,PORSCHE,Cayenne Turbo Coupe,2020,6,60000.0,3996.0,550,5,Orange,Wai To Motors Ltd.,1168000.0
2026/09,2026,9,HONDA,STEPWGN,2023,3,52000.0,1499.0,150,8,White,Celebrity Motors Limited,228000.0
2026/09,2026,9,OTHERS,ZS EV,2025,1,30000.0,,156,5,Blue,鑽澤有限公司,148000.0
2026/09,2026,9,TOYOTA,Vellfire 3.5,2019,7,20000.0,3500.0,300,7,Black,鑽澤有限公司,248000.0
2026/09,2026,9,TOYOTA,NOAH 80 DELUXE,2016,10,58000.0,1987.0,158,7,Black,Star Ray Motors Company Limited,88000.0
2026/09,2026,9,PORSCHE,Macan S,2016,10,40000.0,2997.0,340,4,Black,鑽澤有限公司,168000.0
2026/09,2026,9,MINI,Cooper,2014,12,79000.0,1499.0,136,4,Grey,Hung Wai Motor Enterprise Limited,29000.0
2026/09,2026,9,HONDA,Jazz Crosstar,2024,2,10000.0,1498.0,121,4,Grey,鑽澤有限公司,138000.0
2026/09,2026,9,KIA,STINGER GT,2018,8,100000.0,3342.0,370,5,Blue,Motor Life Limited,98000.0
2026/09,2026,9,TOYOTA,Alphard GF,2020,6,55190.0,3456.0,274,7,Black,Win Point Motors Limited,328000.0
2026/09,2026,9,TOYOTA,ALPHARD 3.5 EXECUTIVE LOUNGE,2019,7,81000.0,3456.0,301,7,Black,HANSEN MOTORS COMPANY LTD,318000.0
2026/09,2026,9,BYD,Seal 3.8s AWD Performance,2024,2,57000.0,,390,5,White,Hung Wai Motor Enterprise Limited,248000.0
2026/09,2026,9,PORSCHE,Boxster 981,2012,14,37000.0,2706.0,265,2,White,Hung Wai Motor Enterprise Limited,208000.0
2026/09,2026,9,MERCEDES-BENZ,A250（W177),2022,4,11000.0,1991.0,224,5,Silver,Vision Motors (HK) Limited,188000.0
2026/09,2026,9,TESLA,Tesla Model 3 Long Range Dual Motor AWD,2025,1,10778.0,78.0,444,5,Grey,"New Method Motors Co., Ltd.",298000.0
2026/09,2026,9,TOYOTA,Toyota Noha WELCAB 8座,2023,3,15000.0,2000.0,170,8,Black,Zhong Hwa Motors Co. Ltd,488000.0
2026/09,2026,9,PORSCHE,GT3RS,2019,7,23000.0,3996.0,520,2,Green,Superior Motors Company Limited,2580000.0
2026/09,2026,9,LEXUS,NX300h,2015,11,54671.0,2494.0,238,5,Grey,"New Method Motors Co., Ltd.",118000.0
2026/09,2026,9,LEXUS,GS250,2014,12,74797.0,2500.0,209,5,Black,"New Method Motors Co., Ltd.",68000.0
2026/09,2026,9,PORSCHE,Macan S Facelift,2018,8,58000.0,2995.0,340,5,Grey,Wai To Motors Ltd.,368000.0
2026/09,2026,9,SUZUKI,JIMNY 1.5 4WD,2022,4,12455.0,1462.0,102,5,Green,"New Method Motors Co., Ltd.",148000.0
2026/09,2026,9,BMW,X3 20IA XLINE,2018,8,75000.0,1998.0,184,5,Grey,Celebrity Motors Limited,98000.0
2026/09,2026,9,BMW,M4 COMPETITION COUPE G82,2021,5,35000.0,2993.0,510,4,Blue,Autopop Limited,898000.0
2026/09,2026,9,PORSCHE,911 992 CARRERA S,2020,6,7500.0,2981.0,450,4,Silver,Autopop Limited,1880000.0
2026/09,2026,9,BMW,X3 XDRIVE28I 2.0T,2014,12,92888.0,1997.0,245,5,Grey,Tak Lee Motors (HK) Limited,38000.0
2026/09,2026,9,TESLA,Model Y Standard Range,2021,5,173000.0,,271,5,Blue,Hung Wai Motor Enterprise Limited,138000.0
2026/09,2026,9,TOYOTA,Noah,2018,8,7481.0,1987.0,152,7,White,Win Point Motors Limited,118000.0
2026/09,2026,9,HONDA,Jazz,2016,10,90960.0,1317.0,100,5,Silver,Win Point Motors Limited,49800.0
2026/09,2026,9,PORSCHE,Taycan,2023,3,5000.0,,320,5,Grey,Wai To Motors Ltd.,918000.0
2026/09,2026,9,PORSCHE,Boxster S,2014,12,69000.0,3436.0,315,2,White,Wai To Motors Ltd.,328000.0
2026/09,2026,9,MERCEDES-BENZ,行貨 CLA250 COUPE AMG (C118),2020,6,30000.0,1991.0,224,5,Black,Win Fair Motors Limited,178000.0
2026/09,2026,9,BMW,行貨X4 XDRIVE28iA M SPORT,2015,11,90000.0,1997.0,245,5,White,Win Fair Motors Limited,78000.0
2026/09,2026,9,MERCEDES-BENZ,CLA35 AMG,2021,5,29000.0,1991.0,306,5,Yellow,Wai To Motors Ltd.,308000.0
